dance 춤
danger 위험
dark 어두운
bad 나쁜
bag 가방
ball 공
actor 영화배우
address 주소
afraid 무서워하다
after 다음
afternoon 오후
baby 아기
back 뒤
cheese 치즈
chicken 치킨
dad 아버지
chance 기회
change 변화
cheap 싸다
date 날짜
ear 귀
early 일찍
earth 지구
garden 정원
gas 가스
gate 통로
gentle 신사적인
hair 머리
half 절반
east 동쪽
echo 메아리
face 얼굴
fact 사실
fair 공평한
fall 가을
family 가족
game 게임
hall 복도
hamburger 햄버거
hand 손
jet 제트기
job 직업
join 참가하다
juice 주스
jump 점프
keep 가지다
key 열쇠
kick 차다
kid 어린이
kill 죽다
lady 숙녀
lake 호수
lamp 등
land 육지
large 큰
make 만들다
man 남자
many 많은
map 지도
march 행진
or 또는
orange 오렌지
other 다른
out 밖
over 위에
page 페이지
paint 페인트
pair 쌍
pants 바지
paper 종이
queen 여왕
question 질문
quick 빠른
quiet 조용한
radio 라디오
rain 비
school 학교
scissors 가위
table 식탁
take 가져가다
talk 말하다
tall 크다
tape 테이프
rainbow 무지개
read 읽다
ready 준비된
real 진짜
same 같다
sand 모래
say 말하다

